TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,6374,HGELM,1.69,0.4275,0.2529585798816568,0.1969,2.2,2.067,2.422,0.9362574373956388,1.0,1.5,0.0225,0.005128768520746759,0.0022630868473226882,0.3785646930371102,8.475,0.033,1
ASDEX,6374,HGELM,1.676,0.4269,0.25471360381861574,0.1964,2.201,2.071,2.435,0.9376114893929927,1.0,1.5,0.02225,0.005138343514006662,0.00226955644016573,0.3746236662761103,8.561,0.032648166666666666,1
ASDEX,6406,HSELM,1.666,0.4263,0.2558823529411765,0.1971,2.2,3.144,1.95,0.9385340568123732,1.0,1.5,0.03962,0.004759144299170791,0.0029473604932941785,0.7687552731693691,8.556,0.05810933333333334,1
ASDEX,6406,HSELM,1.658,0.4288,0.2586248492159228,0.197,2.2,3.138,2.222,0.9329289879241819,1.0,1.5,0.0329,0.0047777582403803615,0.0029996676696688027,0.7307562012842079,8.936,0.048253333333333336,1
ASDEX,6406,HSELM,1.652,0.4298,0.26016949152542374,0.1963,2.2,3.062,2.442,0.9308033759111062,1.0,1.5,0.02824,0.004792045327967783,0.002958299585917052,0.6959701465320484,9.145,0.04141866666666667,1
ASDEX,6412,HSELM,1.666,0.4183,0.2510804321728692,0.198,1.574,3.193,1.045,0.9577451110502695,1.0,1.5,0.1045,0.006486083306926848,0.005353058651698798,0.6707508457647765,5.464,0.10965533333333334,1
ASDEX,6412,HSELM,1.66,0.4217,0.25403614457831325,0.1975,1.573,3.194,1.231,0.9504032664872414,1.0,1.5,0.08113,0.006716422919721134,0.005835532512592815,0.5623462637088845,5.747,0.08507832666666666,1
ASDEX,6412,HSELM,1.656,0.424,0.2560386473429952,0.1974,1.574,3.298,1.685,0.9451137656181074,1.0,1.5,0.05018,0.00682518218345524,0.006290326246165844,0.5286196170080748,5.957,0.05265554666666668,1
ASDEX,6415,HGELM,1.68,0.4123,0.24541666666666667,0.2944,2.201,3.96,2.503,0.9694478992994007,1.0,1.5,0.05045,0.006332719572538333,0.006148436308917176,0.24276988404125557,4.754,0.07402696666666667,1
ASDEX,6416,HSELM,1.658,0.4026,0.24282267792521112,0.2977,2.201,3.538,1.502,0.9932678767693485,1.0,1.5,0.06394,0.00561799822126282,0.004122217224798326,0.37808924222603246,4.315,0.09382129333333333,1
ASDEX,6416,HGELM,1.657,0.4089,0.24677127338563667,0.2965,2.2,3.917,1.74,0.9775578866826011,1.0,1.5,0.07139,0.006063894307159562,0.005484705938581817,0.2887603503524776,4.626,0.10470533333333333,1
ASDEX,6416,HGELM,1.65,0.4123,0.2498787878787879,0.2947,2.201,3.89,2.535,0.9691930997184487,1.0,1.5,0.04668,0.006263782717284964,0.005908972224668394,0.24219714544764723,4.876,0.06849512,1
ASDEX,6421,HSELM,1.655,0.3998,0.24157099697885195,0.2971,2.2,3.365,1.657,1.0000542244909347,1.0,1.5,0.0479,0.005435347247466937,0.0036189913699510327,0.4237335357941277,4.214,0.07025333333333333,1
ASDEX,6421,HSELM,1.651,0.4074,0.2467595396729255,0.2964,2.201,3.696,1.838,0.9811382880182749,1.0,1.5,0.06157,0.006074116079122003,0.0051546893283195274,0.27337285939311573,4.579,0.09034371333333334,1
ASDEX,6421,HSELM,1.658,0.4135,0.2493968636911942,0.2955,2.2,3.847,2.491,0.9666108960844422,1.0,1.5,0.04894,0.006329243864947739,0.006001214942751774,0.22817621915036346,4.891,0.07177866666666667,1
ASDEX,6480,HGELM,1.68,0.3991,0.23755952380952383,0.3705,1.888,5.111,1.864,1.002262447466462,1.0,1.5,0.08951,0.007366153311680537,0.010060351455886728,0.2496461538620559,2.824,0.11266325333333334,1
ASDEX,6480,HGELM,1.674,0.4017,0.2399641577060932,0.3696,1.888,5.281,2.538,0.9956893620950132,1.0,1.5,0.06616,0.0076151727409971655,0.01125490046761711,0.2186637016951881,2.915,0.08327338666666666,1
ASDEX,6516,HSELM,1.677,0.3941,0.2350029815146094,0.3722,2.197,3.484,1.755,1.0139395218542564,1.0,1.5,0.06124,0.006347957656101029,0.004966167547747463,0.2055329741819819,3.145,0.08969618666666668,1
ASDEX,6516,HGELM,1.673,0.4018,0.24016736401673638,0.3694,2.197,4.147,2.582,0.9944757021697295,1.0,1.5,0.059,0.0071182985796979835,0.007726247407046413,0.1423843826034639,3.403,0.08641533333333333,1
ASDEX,6517,HSELM,1.675,0.3934,0.23486567164179106,0.3716,2.197,3.506,1.75,1.0160300524685468,1.0,1.5,0.06104,0.006327319494197036,0.0049474619304723895,0.2112478829863346,3.135,0.08940325333333334,1
ASDEX,6517,HGELM,1.681,0.3999,0.23789411064842353,0.3719,2.198,3.976,1.752,0.9993586234983948,1.0,1.5,0.09357,0.007067473882127482,0.007233357293632561,0.1433970329572417,3.3,0.13711124,1
ASDEX,6517,HGELM,1.679,0.4028,0.23990470518165574,0.37,2.198,4.149,2.528,0.9925167433124321,1.0,1.5,0.0647,0.007296768384086092,0.00816292469099567,0.12795404895765772,3.414,0.09480706666666666,1
ASDEX,6523,HSELM,1.672,0.3929,0.234988038277512,0.3713,2.2,3.429,1.822,1.017501178906251,1.0,1.5,0.05516,0.006400128027040535,0.004938228428009045,0.19735082124355782,3.135,0.08090133333333334,1
ASDEX,6523,HGELM,1.68,0.3978,0.2367857142857143,0.3715,2.198,3.99,1.714,1.0048221292225132,1.0,1.5,0.08933,0.007008712210011029,0.007063845917053274,0.15241276869614423,3.246,0.13089822666666667,1
ASDEX,6523,HGELM,1.672,0.4004,0.2394736842105263,0.3695,2.198,3.911,2.235,0.9980723302321909,1.0,1.5,0.06767,0.0072914417452093015,0.007592155307208915,0.12360633035710969,3.363,0.09915910666666666,1
