TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,7124,HSELM,1.662,0.4103,0.24687123947051745,0.2944,2.201,4.212,2.545,0.9748577683104331,1.0,1.5,0.04909,0.006196643356157205,0.006201071064058064,0.28347434572699937,4.714,0.07203139333333333,1
ASDEX,7940,HSELM,1.653,0.4024,0.24343617664851783,0.2968,2.211,3.767,1.648,0.9976414329690656,1.0,1.5,0.05498,0.005503079766539134,0.004207125713337781,0.4333511775981614,4.325,0.08104052,1
ASDEX,7940,HSELM,1.653,0.4048,0.24488808227465214,0.2951,2.211,3.922,1.759,0.9910836628424785,1.0,1.5,0.05835,0.005725383375836504,0.004797997878330377,0.3768326780673706,4.456,0.0860079,1
ASDEX,7940,HSELM,1.654,0.4076,0.24643288996372434,0.2949,2.211,4.116,2.205,0.9842973682529592,1.0,1.5,0.0499,0.005914983419798796,0.00544895334283677,0.337090931061932,4.585,0.0735526,1
ASDEX,7941,HSELM,1.656,0.4034,0.24359903381642511,0.2963,2.022,4.7,1.756,0.9950388389926286,1.0,1.5,0.05791,0.005669544540171541,0.005599229877654847,0.6231632458783315,3.991,0.07806268,1
ASDEX,7941,HSELM,1.652,0.4068,0.24624697336561743,0.2952,2.022,4.88,1.728,0.9865892391861389,1.0,1.5,0.06981,0.00592343287418836,0.006453435330164365,0.5228789097216974,4.159,0.09410387999999999,1
ASDEX,7941,HGELM,1.659,0.4108,0.24761904761904763,0.2953,2.022,5.229,2.148,0.9767780312041779,1.0,1.5,0.06143,0.006087260079869024,0.007447071712470354,0.48350404565568,4.313,0.08280763999999999,1
ASDEX,7942,HSELM,1.651,0.401,0.2428831011508177,0.2964,2.399,3.577,1.882,1.0003027368711737,1.0,1.5,0.04198,0.005040858001270575,0.003328732698220129,0.4641899847125504,4.647,0.06714001333333333,1
ASDEX,7942,HSELM,1.649,0.4035,0.24469375379017588,0.2949,2.399,3.728,2.045,0.9944275333750741,1.0,1.5,0.04447,0.005287710969699495,0.0038650997586713184,0.38994930666707994,4.789,0.07112235333333333,1
ASDEX,7942,HSELM,1.647,0.4038,0.24517304189435335,0.2946,2.398,3.675,2.189,0.9932130245989464,1.0,1.5,0.04207,0.005404786776839254,0.003986661963939155,0.3509783823873285,4.816,0.06725590666666667,1
ASDEX,7943,HSELM,1.655,0.4003,0.24187311178247733,0.2971,1.832,3.791,1.436,1.0029063567723748,1.0,1.5,0.06518,0.006541971746779613,0.005921130082166413,0.3933369491168555,3.502,0.07960650666666667,1
